Name,Producer,Vintage,Price,DO,Variety,Type,Country,Region,Cost,Supplier,abv,cl
Weingut A.J. Adam Dhroner Hofberg Riesling Kabinett,A.J. Adam,2016,72.00,Dhron,Riesling,White,Alemania,Mosel,24.00,Wine Searcher,8.5,75
Barzen Riesling Trocken 1886,Alexander Barzen  ,2017,30.75,Mosel,Riesling,White,Alemania,Mosel,10.25,Media Relations,11.5,75
Dr. Loosen Erdener Prälat Alte Reben Riesling GG,Dr. Loosen,2014,273.00,Erden,Riesling,White,Alemania,Mosel,91.00,Wine Searcher,13.0,75
Egon Müller Scharzhofberger Riesling Kabinett,Egon Müller,2015,285.00,Wiltingen,Riesling,White,Alemania,Mosel-Saar,95.00,Wine Searcher,8.5,75
Egon Müller Scharzhof Riesling,Egon Müller,2017,138.00,Saar,Riesling,White,Alemania,Mosel-Saar,46.00,Wine Searcher,11.5,75
Scharzhofberger Riesling Kabinett,Egon Müller ,2011,144.30,Mosel Wiltingen,Riesling,White,Alemania,Mosel,48.10,EL GUSTO POR EL VINO CANARIAS S.L.,9.0,75
Teppo,FIO Wines,2017,31.50,Mosel,Riesling,White,Alemania,Mosel,10.50,Buena Uva,10.5,75
FIO Wines Cabisehrnett,FIO Wines,2017,75.00,Mosel,Riesling,White,Alemania,Mosel,25.00,Wine Searcher,8.5,75
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Spätlese,Fritz Haag,2017,102.00,Brauneberg,Riesling,White,Alemania,Mosel,34.00,Wine Searcher,8.0,75
Weingut Günther Steinmetz Piesporter Treppchen Von den Terrassen Riesling,Günther Steinmetz ,2014,114.00,Piesport,Riesling,White,Alemania,Mosel,38.00,Wine Searcher,11.5,75
Schieferterrassen Trocken,Heymann-Löwenstein,2013,51.00,Mosel,Riesling,White,Alemania,Mosel,17.00,Gourmet Hunters,13.5,75
Heymann-Löwenstein L Uhlen Laubach GG,Heymann-Löwenstein,2017,111.00,Winningen,Riesling,White,Alemania,Mosel,37.00,Wine Searcher,12.5,75
Wehlener Sonnenuhr Spätlese,J. J. Prüm,2007,87.00,Wehlen,Riesling,White,Alemania,Mosel,29.00,Gourmet Hunters,8.0,75
Julian Haart Piesporter Goldtröpfchen Riesling,Julian Haart ,2016,174.00,Piesport,Riesling,White,Alemania,Mosel,58.00,Wine Searcher,13.0,75
Reinhold Haart Piesporter Goldtröpfchen Riesling GG,Reinhold Haart,2015,87.00,Piesport,Riesling,White,Alemania,Mosel,29.00,Wine Searcher,12.5,75
Selbach-Oster Zeltinger Sonnenuhr Riesling Spätlese,Selbach-Oster ,2015,81.00,Zeltingen,Riesling,White,Alemania,Mosel,27.00,Wine Searcher,9.0,75
Van Volxem Scharzhofberger P. Pergentsknopp Riesling GG,Van Volxem,2017,126.00,Saar,Riesling,White,Alemania,Mosel-Saar,42.00,Wine Searcher,12.0,75
Weingut Willi Schaefer Graacher Domprobst Riesling Kabinett,Willi Schaefer,2018,87.00,Graach,Riesling,White,Alemania,Mosel,29.00,Wine Searcher,8.0,75
Weingut Dönnhoff Niederhauser Hermannshöhle Riesling GG,Dönnhoff,2016,201.00,Niederhausen,Riesling,White,Alemania,Nahe,67.00,Wine Searcher,13.5,75
Weingut Emrich-Schönleber Monzinger Halenberg Riesling GG,Emrich-Schönleber,2016,126.00,Monzingen,Riesling,White,Alemania,Nahe,42.00,Wine Searcher,12.5,75
Weingut Emrich-Schönleber Monzinger Halenberg Riesling Spätlese,Emrich-Schönleber,2018,78.00,Monzingen,Riesling,White,Alemania,Nahe,26.00,Wine Searcher,9.5,75
Weingut Emrich-Schönleber Trocken Mineral,Emrich-Schönleber,2018,51.00,Nahe,Riesling,White,Alemania,Nahe,17.00,Wine Searcher,12.5,75
Schäfer-Fröhlich Schiefergestein Bockenauer Riesling Trocken,Schäfer-Fröhlich,2018,60.00,Bockenau,Riesling,White,Alemania,Nahe,20.00,Wine Searcher,12.5,75
Dr. Bürklin-Wolf Forster Kirchenstück GC Riesling Trocken,Dr. Bürklin-Wolf,2017,492.00,Forst an der Weinstrasse,Riesling,White,Alemania,Pfalz,164.00,Wine Searcher,13.0,75
Dr. Bürklin-Wolf Ruppertsberger Gaisböhl GC Riesling Trocken,Dr. Bürklin-Wolf,2014,141.00,Ruppertsberg,Riesling,White,Alemania,Pfalz,47.00,Wine Searcher,12.5,75
Koehler-Ruprecht R Kallstadter Saumagen Riesling Auslese Trocken,Koehler-Ruprecht,2008,261.00,Kallstadt,Riesling,White,Alemania,Pfalz,87.00,Wine Searcher,12.5,75
Müller-Catoir Haardter Muskateller Trocken,Müller-Catoir ,2017,75.00,Haardt,Muskateller,White,Alemania,Pfalz,25.00,Wine Searcher,12.5,75
Ökonomierat Rebholz Im Sonnenschein Weissburgunder  GG,Ökonomierat Rebholz,2017,123.00,Siebeldingen,Weissburgunder,White,Alemania,Pfalz,41.00,Wine Searcher,13.0,75
Im Sonnenschein Spätlese Trocken,Ökonomierat Rebholz ,1999,45.00,Pfalz Siebeldingen,Riesling,White,Alemania,Pfalz,15.00,SIDRAL S.L.,13.0,75
Villa Wolf Gewürztraminer,Villa Wolf ,2016,26.25,Pfalz,Gewürztraminer,White,Alemania,Pfalz,8.75,Piñero,11.5,75
White Rabbit,J. Bäumer,2017,18.00,Rhein,Riesling,White,Alemania,Rhein,6.00,Buena Uva,9.0,75
August Kesseler R Riesling Kabinett,August Kesseler,2018,45.00,Rheingau,Riesling,White,Alemania,Rheingau,15.00,Wine Searcher,10.5,75
Rüdesheim Berg Schlossberg Riesling GG,August Kesseler ,2012,99.00,Rheingau Rudesheim,Riesling,White,Alemania,Rheingau,33.00,,13.5,75
Georg Breuer Rüdesheimer Berg Schlossberg Riesling,Georg Breuer,2017,693.00,Rüdesheim,Riesling,White,Alemania,Rheingau,231.00,Wine Searcher,12.0,75
J.B. Becker Wallufer Walkenberg Alte Reben Riesling Spätlese Trocken,J.B. Becker,2016,93.00,Walluf,Riesling,White,Alemania,Rheingau,31.00,Wine Searcher,13.0,75
Weingut Leitz Rüdesheimer Berg Rottland Hinterhaus Riesling GG,Leitz,2016,99.00,Rüdesheim,Riesling,White,Alemania,Rheingau,33.00,Wine Searcher,12.0,75
Gunderloch Nackenheimer Rothenberg Riesling Spätlese,Gunderloch,2015,102.00,Rheinterrasse-Rheinhessen,Riesling,White,Alemania,Rheinhessen-Nackenheim,34.00,Wine Searcher,9.0,75
Weingut Keller Dalsheimer Hubacker Riesling GG,Keller,2015,543.00,Rheinhessen,Riesling,White,Alemania,Rheinhessen-Dalsheim,181.00,Wine Searcher,12.5,75
Gewürztraminer Feinherb Spätlese,Stallmann- Hiestand ,2010,35.85,Rheinhessen,Gewürztraminer,White,Alemania,Rheinhessen,11.95,,,75
Riesling Eiserne Hand Halbtrocken,Stallmann- Hiestand ,2013,31.71,Rheinhessen,Riesling,White,Alemania,Rheinhessen,10.57,,,75
Riesling Trocken,Wittmann,2015,39.00,Rheinhessen,Riesling,White,Alemania,Rheinhessen-Westhofen,13.00,Gourmet Hunters,12.5,75
Weingut Wittmann Kirchspiel Riesling Grosses Gewächs,Wittmann,2016,144.00,Rheinhessen,Riesling,White,Alemania,Rheinhessen-Westhofen,48.00,Wine Searcher,13.0,75
El Enemigo Chardonnay,Aleanna ,2012,37.50,Tupungato,Chardonnay,White,Argentina,Mendoza,12.50,,13.5,75
El Enemigo Chardonnay,Aleanna ,2017,66.00,Tupungato,Chardonnay,White,Argentina,Mendoza,22.00,Wine Searcher,13.5,75
Vía Revolucionaria Torrontés Brutal,Passionate Wine,2014,59.79,Tupungato,Torrontés,White,Argentina,Mendoza,19.93,Wineissocial,12.5,75
Agua de Roca,Passionate Wine,2017,42.00,Tupungato,Sauvignon Blanc,White,Argentina,Mendoza,14.00,Wine Searcher,12.0,75
Vía Revolucionaria Torrontés Brutal,Passionate Wines ,2015,60.00,Tupungato,Torrontés,White,Argentina,Mendoza,20.00,TROPICAL TURISTICA CANARIA SL,12.5,75
Nantua Les Deux Chardonnay,Giaconda,2015,141.00,Beechworth-North East Victoria,"Chardonnay, Roussane ",White,Australia,Victoria,47.00,Wine Searcher,13.5,75
Springvale Riesling,Grosset,2019,75.00,Clare Valley,Riesling,White,Australia,South Australia,25.00,Wine Searcher,12.7,75
Leeuwin Estate Art Series Chardonnay,Leeuwin Estate,2017,198.00,Margaret River,Chardonnay,White,Australia,Western Australia,66.00,Wine Searcher,13.5,75
Elisabeth Tradition,Nikolaihof ,2006,80.37,Wachau,"Grüner veltliner, Riesling, Weissburgunder, Welschriesling",White,Austria,Wachau,26.79,TROPICAL HOTELES SA,12.5,75
Gobelsburger  Grüner Veltliner,Schloss Gobelsburg  ,2017,29.40,Kamptal,Grüner Veltliner,White,Austria,Niederösterreich,9.80,Piñero,,75
Mirabrás,Barbadillo ,2014,32.88,Cádiz,Palomino Fino,White,España,Andalucía,10.96,PREMIUM DRINKS S.L.U.,13.5,75
Forlong Blanco,Forlong ,2015,30.00,Cádiz,Palomino Fino y Pedro Ximénez,White,España,Andalucía,10.00,FranciaSCO ROSSINI ROSS VINI,12.5,75
Encrucijado Palo Cortado,Cota 45 ,2015,54.00,Jerez,"Perruno, Uva Rey, Palomino Fino",White,España,Andalucía,18.00,COALLA LOGISTICA S.L.,15.0,75
Fermentación Lenta,Ximénez-Spínola ,2014,75.00,Jerez,Pedro Ximénez,White,España,Andalucía,25.00,PIÑERO RODRIGUEZ S.L.,14.0,75
Fermentación Lenta,Ximénez-Spínola ,2015,65.85,Jerez,Pedro Ximénez,White,España,Andalucía,21.95,PIÑERO RODRIGUEZ S.L.,14.0,75
Botani Moscatel Old Vines,Jorge Ordóñez ,2016,29.85,Sierras de Málaga,Moscatel de Alejandría,White,España,Andalucía,9.95,Vinófilos,,75
Mountain Blanco,Telmo Rodríguez ,2013,33.63,Sierras de Málaga,Moscatel de Alejandría,White,España,Andalucía,11.21,EL GUSTO POR EL VINO CANARIAS S.L.,13.5,75
Tosca Cerrada Palomino Fino en Rama,Akilia-Delgado Zuleta,2016,29.40,VT Cádiz,Palomino Fino,White,España,Andalucía,9.80,Gourmet Hunters,12.5,75
Ube de Ubérrima Miraflores,Cota 45,2017,32.25,VT Cádiz,"Palomino Fino, otras",White,España,Andalucía,10.75,Premium Drinks,,75
Barbazul,Huerta de Albalá ,,22.50,VT Cádiz,Chardonnay,White,España,Andalucía,7.50,Piñero,,75
Ojo de Gallo,José Estévez,2016,26.40,,Palomino Fino,White,España,Andalucía,8.80,Vinófilos,,75
Enate Uno Chardonnay,Enate,2006,703.50,Somontano,Chardonnay,White,España,Aragón,234.50,,15.5,75
Sommos Gewürztraminer,Sommos ,2015,26.85,Somontano,Gewürztraminer,White,España,Aragón,8.95,Piñero,,75
Sommos Gewürztraminer,Sommos ,2016,26.85,Somontano,Gewürztraminer,White,España,Aragón,8.95,Piñero,,75
Botijo Blanco,Frontonio ,2016,21.00,VT Valdejalón,Garnacha Blanca,White,España,Aragón,7.00,Piñero,13.0,75
Cobero Blanco,Goyo García Viadero ,2014,66.00,Cantabria Liébana,Palomino,White,España,Cantabria,22.00,COALLA LOGISTICA S.L.,13.5,75
Loco,Canopy ,2013,47.55,Méntrida,Garnacha Blanca,White,España,Castilla La Mancha,15.85,Media Relations,,75
Vallegarcía Viognier,Pago Vallegarcía ,2015,43.80,VT Castilla,Viognier,White,España,Castilla La Mancha,14.60,El Gusto por el Vino,,75
Camino de la Frontera Blanco,DaTerra Viticultores,2017,34.50,Arribes del Duero,"Malvasía, Verdejo, Puesta en Cruz",White,España,Castilla y León,11.50,Buena Uva,13.0,75
Akilia K,Akilia,2018,57.00,Bierzo,"Palomino, Doña  Blanca",White,España,Castilla y León,19.00,Wine Searcher,12.0,75
Villa de San Lorenzo Blanco,Akilia ,2016,25.50,Bierzo,"Palomino Fino, Doña Blanca",White,España,Castilla y León,8.50,COALLA LOGISTICA S.L.,13.5,75
Brezo Blanco,Mengoba ,2017,20.25,Bierzo,"Godello, Doña Blanca",White,España,Castilla y León,6.75,Buena Uva,12.5,75
Brezo,Mengoba ,2017,20.25,Bierzo,"Godello, Doña Blanca",White,España,Castilla y León,6.75,Premium Drinks,,75
Brezo,Mengoba ,2016,20.25,Bierzo,"Godello, Doña Blanca",White,España,Castilla y León,6.75,Premium Drinks,,75
Las Botas,Mengoba ,2016,94.65,Bierzo,Godello,White,España,Castilla y León,31.55,JUBA SUAREZ RUFINO,12.5,75
Las Tinajas,Mengoba ,2016,94.65,Bierzo,Godello,White,España,Castilla y León,31.55,JUBA SUAREZ RUFINO,12.5,75
VO CAL,Verónica Ortega ,2017,63.00,Bierzo,Godello,White,España,Castilla y León,21.00,Wine Searcher,12.5,75
Cucú Cantaba la Rana,Barco del Corneta ,2018,19.95,Castilla y León,Verdejo,White,España,Castilla y León,6.65,JUBA SUAREZ RUFINO,13.0,75
Reto,Ponce ,2018,33.96,Manchuela,Albilla de Manchuela,White,España,Castilla La Mancha,11.32,Wine Searcher,13.5,75
Dominio del Águila Reserva,Dominio del Águila ,2015,225.00,Ribera del Duero,Albillo,White,España,Castilla y León,75.00,Piñero,,75
Belondrade y Lurton,Belondrade ,2016,77.70,Rueda,Verdejo,White,España,Castilla y León,25.90,El Gusto por el Vino,,75
Finca Las Caraballas Verdejo,Finca Las Caraballas ,2015,70.50,Rueda,Verdejo,White,España,Castilla y León,23.50,EL GUSTO POR EL VINO CANARIAS S.L.,13.0,150
"Erre de Herrero 37,5cl",Herrero Bodega,2017,7.80,Rueda,Verdejo,White,España,Castilla y León,2.60,Buena Uva,12.5,38
Atino,Herrero Bodega,2017,13.50,Rueda,Verdejo,White,España,Castilla y León,4.50,Buena Uva,13.5,75
Verdejo,K-Naia ,2018,14.10,Rueda,Verdejo,White,España,Castilla y León,4.70,EL GUSTO POR EL VINO CANARIAS S.L.,13.0,75
Páramos de Nicasia ,Máquina & Tabla ,2015,33.75,Rueda,Verdejo,White,España,Castilla y León,11.25,Piñero,,75
Nosso,Menade ,2018,33.00,Rueda,Verdejo,White,España,Castilla y León,11.00,EL GUSTO POR EL VINO CANARIAS S.L.,13.0,75
Shaya,Shaya ,2017,23.10,Rueda,Verdejo,White,España,Castilla y León,7.70,Vinófilos,,75
Basa,Telmo Rodríguez,2016,13.59,Rueda,"Verdejo, Viura",White,España,Castilla y León,4.53,Vilaviniteca,13.0,75
El Transistor,Telmo Rodríguez ,2016,47.31,Rueda,Verdejo,White,España,Castilla y León,15.77,EL GUSTO POR EL VINO CANARIAS S.L.,12.5,75
El Perro Verde,Uvas Felices ,2017,25.50,Rueda,Verdejo,White,España,Castilla y León,8.50,Piñero,,75
Finca La Colina Sauvignon Blanc,Vinos Sanz ,2017,38.94,Rueda,Sauvignon Blanc,White,España,Castilla y León,12.98,Dialte,,75
Sin Nombre,MicroBio ,2016,52.50,Segovia,Verdejo,White,España,Castilla y León,17.50,COALLA LOGISTICA S.L.,13.5,75
Correcaminos,MicroBio Wines,2016,29.40,Sin DO (Nieva),Verdejo,White,España,Castilla y León,9.80,Cuvée 3000,13.3,75
Maneki,Tampesta ,2016,24.39,Tierra de León,Albarín,White,España,Castilla y León,8.13,Amazonas Encava,,75
Le Domaine,Abadía Retuerta ,2017,100.50,VT Castilla y León,"Sauvignon Blanc, Verdejo",White,España,Castilla y León,33.50,Vinófilos,,75
Lovamor,Alfredo Maestro,2016,21.75,VT Castilla y León,Albillo,White,España,Castilla y León,7.25,Barcelonavinos,13.5,75
Ossian,Ossian ,2017,54.00,VT Castilla y León,Verdejo,White,España,Castilla y León,18.00,COALLA LOGISTICA S.L.,14.5,75
Quinta Luna,Ossian Vides y Vinos,2017,28.50,VT Castilla y León,Verdejo,White,España,Castilla y León,9.50,Buena Uva,13.0,75
Ossian,Ossian Vides y Vinos,2016,55.50,VT Castilla y León,Verdejo,White,España,Castilla y León,18.50,Premium Drinks,,75
Quinta Luna,Ossian Vides y Vinos,2016,28.50,VT Castilla y León,Verdejo,White,España,Castilla y León,9.50,Premium Drinks,,75
Cienfuegos Fermentado en Barrica,Selección César Muñoz ,2016,64.50,VT Castilla y León,"Albarín Blanco, Godello, Verdejo",White,España,Castilla y León,21.50,LAVINIA ESPAÑA SELECCION SL,13.5,75
Lirondo,Isaac Cantalapiedra,2018,25.29,VT Castilla y León La Seca-Valladolid,Verdejo,White,España,Castilla y León,8.43,Wine Searcher,13.5,75
Majuelo del Chivitero,Isaac Cantalapiedra,2016,46.86,VT Castilla y León La Seca-Valladolid,Verdejo,White,España,Castilla y León,15.62,Wine Searcher,13.5,75
Únic Chardonnay,Clos Montblanc ,2016,24.63,Catalunya,Chardonnay,White,España,Catalunya,8.21,Media Relations,,75
L'Equilibrista Blanc,Ca N'Estruc ,2017,40.50,Catalunya,Xarel·lo,White,España,Catalunya,13.50,Piñero,,75
Clos d'Agón Blanc,Clos d'Agon ,2011,116.85,Catalunya,Viognier,White,España,Catalunya,38.95,Piñero,,75
Ekam,Castell d'Encús ,2016,50.55,Costers del Segre,"Riesling, Albariño",White,España,Catalunya,16.85,EnoGastronómika,,75
Ekam,Castell d'Encús ,2017,52.50,Costers del Segre,"Riesling, Albariño",White,España,Catalunya,17.50,EnoGastronómika,,75
Taleia,Castell d´Encús ,2015,45.00,Costers del Segre,"Sauvignon Blanc, Sémillon ",White,España,Catalunya,15.00,COALLA LOGISTICA S.L.,13.5,75
Taleia,Castell d'Encús,2015,38.25,Costers del Segre,"Sauvignon Blanc, Sémillon",White,España,Catalunya,12.75,Barcelonavinos,13.0,75
Sota els Àngels Blanco,Sota els Àngels ,2016,46.14,Empordà,"Viognier, Picapoll",White,España,Catalunya,15.38,COALLA LOGISTICA S.L.,13.5,75
Finca Olivardots Groc d'Àmfora,Vinyes d'Olivardots ,2014,25.35,Empordà,"Garnacha Blanca, Garnacha Gris, Macabeo",White,España,Catalunya,8.45,PREMIUM DRINKS S.L.U.,12.5,75
Flow,Sota el Àngels,2016,20.25,Empordà,Carinyena,White,España,Catalunya,6.75,Gourmet Hunters,12.5,75
Trossos Sants,Alfredo Arribas-Clos del Portal,2012,41.67,Montsant,"Garnacha Blanca, Garnacha Gris",White,España,Catalunya,13.89,TROPICAL TURISTICA CANARIA SL,14.0,75
Trossos Tros Blanc Notaria,Alfredo Arribas-Clos del Portal,2014,147.00,Montsant,Garnacha Blanca,White,España,Catalunya,49.00,Wine Searcher,14.0,75
Dido Blanc,Venus La Universal,2016,37.05,Montsant,"Macabeu, Garnatxa Blanca, Xarel·lo",White,España,Catalunya,12.35,Calidoscopi,14.5,75
Muscat,Torre del Veguer,2016,23.85,Penedès,Moscatel de Frontignan,White,España,Catalunya,7.95,Vinos con Alma,,75
Xarel·lo Pairal,Can Ràfols dels Caus ,2014,72.00,Penedès,Xarel·lo,White,España,Catalunya,24.00,Piñero,,75
Terraprima,Can Ràfols dels Caus ,2016,29.25,Penedès,"Xarel·lo, Riesling",White,España,Catalunya,9.75,Piñero,,75
Terraprima,Can Ràfols dels Caus ,2017,29.25,Penedès,"Xarel·lo, Riesling",White,España,Catalunya,9.75,Piñero,,75
Les Arrels del Cel,Amós Bañeres ,2015,141.75,Penedès,Xarel·lo,White,España,Catalunya,47.25,,12.5,75
Espenyalluchs,Cal Raspallet ,2016,107.85,Penedès,Xarel·lo,White,España,Catalunya,35.95,PIÑERO RODRIGUEZ S.L.,13.0,75
Espenyalluchs,Cal Raspallet ,2015,98.34,Penedès,Xarel·lo,White,España,Catalunya,32.78,,13.0,75
Nun,Cal Raspallet ,2016,135.38,Penedès,Xarel·lo,White,España,Catalunya,45.13,PIÑERO RODRIGUEZ S.L.,12.0,75
Xarel·lo Pairal,Can Ràfols dels Caus ,2009,165.00,Penedès,Xarel·lo,White,España,Catalunya,55.00,PIÑERO RODRIGUEZ S.L.,12.5,75
Xarel·lo Pairal,Can Ràfols dels Caus ,2013,65.41,Penedès,Xarel·lo,White,España,Catalunya,21.80,PIÑERO RODRIGUEZ S.L.,12.5,75
Xarel·lo Pairal,Can Ràfols dels Caus ,2012,165.00,Penedès,Xarel·lo,White,España,Catalunya,55.00,PIÑERO RODRIGUEZ S.L.,12.5,75
Xarel·lo Pairal,Can Ràfols dels Caus ,2008,65.41,Penedès,Xarel·lo,White,España,Catalunya,21.80,PIÑERO RODRIGUEZ S.L.,12.5,75
Xarel·lo Pairal,Can Ràfols dels Caus ,2005,65.41,Penedès,Xarel·lo,White,España,Catalunya,21.80,PIÑERO RODRIGUEZ S.L.,12.5,75
Perill Blanc Àmfora,Clos Lentiscus ,2016,38.85,Penedès,Xarel·lo,White,España,Catalunya,12.95,CUVEE 3000,12.5,75
QX 4 Xarel·los,Mas Candí ,2012,102.00,Penedès,Xarel·lo,White,España,Catalunya,34.00,CUVEE 3000,13.0,150
Rupestris ,Celler Pardas,2016,18.15,Penedès,"Xarel·lo, Xarel·lo Vermell, Malvasia de Sitges, Macabeu",White,España,Catalunya,6.05,Vilaviniteca,13.0,75
Can Credo,Celler Credo,2014,39.00,Penedès,Xarel·lo,White,España,Catalunya,13.00,Vilaviniteca,13.0,75
Cinclus SC,DG Viticultors ,2013,30.00,Penedès,"Albariño, Incrocio Manzoni",White,España,Catalunya,10.00,Wine Searcher,12.5,75
Vega de Ribes Sasserra,Vega de Ribes ,2017,30.00,Penedès,Malvasia de Sitges,White,España,Catalunya,10.00,Wine Searcher,13.0,75
Can Sumoi Xarel·lo Serra de l'Home,Can Sumoi ,2018,39.00,Penedès,Xarel·lo,White,España,Catalunya,13.00,Wine Searcher,12.5,75
El Truc,Masia de la Roqua,2016,19.50,Penedès (Massis del Garraf),Macabeu,White,España,Catalunya,6.50,Human Vins,9.0,75
Perill Blanc Àmfora,Clos Lentiscus,2016,28.50,Penedès (Massis del Garraf),Xarel·lo,White,España,Catalunya,9.50,Cuvée 3000,12.5,75
Xarel·lo Pairal,Can Ràfols dels Caus,2012,45.60,Penedès (Massis del Garraf),Xarel·lo,White,España,Catalunya,15.20,Vilaviniteca,12.5,75
La Calma,Can Ràfols dels Caus,2016,87.00,Penedès (Massis del Garraf),Chenin Blanc,White,España,Catalunya,29.00,Wine Searcher,12.5,75
El Rocallís,Can Ràfols dels Caus,2016,93.00,Penedès (Massis del Garraf),Incrocio Manzoni,White,España,Catalunya,31.00,Wine Searcher,13.0,75
Xarel·lo Domaine,Clos Lentiscus,2016,68.94,Penedès (Massis del Garraf),Xarel·lo,White,España,Catalunya,22.98,Wine Searcher,12.5,75
Petit Bernat,Heretat Oller del Mas,2016,19.50,Pla de Bages,"Macabeu, Picapoll",White,España,Catalunya,6.50,Gourmet Hunters,12.0,75
Planetes de Nin Blanco Reserva,Ester Nin ,2016,85.22,Priorat,Cariñena Blanca,White,España,Catalunya,28.41,PIÑERO RODRIGUEZ S.L.,13.0,75
Rar Garnatxa Blanca,Vins Singulars ,2014,78.00,Priorat,"Garnacha Blanca, Chenin Blanc",White,España,Catalunya,26.00,ENJOY WINE SL,14.5,75
Històric Blanc ,Terroir al Límit,2015,34.35,Priorat,"Garnatxa Blanca, Macabeu",White,España,Catalunya,11.45,Cuvée 3000,13.5,75
Pedra de Guix,Terroir al Límit,2016,165.00,Priorat,"Pedro Ximénez, Garnacha Blanca, Macabeu",White,España,Catalunya,55.00,Wine Searcher,13.0,75
Planetes de Nin Blanc,Familia Nin-Ortiz,2016,96.00,Priorat,Carinyena Blanca,White,España,Catalunya,32.00,Wine Searcher,13.0,75
La Rumbera,Oriol Artigas,2018,54.00,Sin DO (Alella),Pansa Blanca,White,España,Catalunya,18.00,Wine Searcher,12.5,75
La Bèstia,Oriol Artigas,2017,72.00,Sin DO (Alella),Pansa Blanca,White,España,Catalunya,24.00,Wine Searcher,13.5,75
Sicus Sons Cartoixà,Celler Sicus Terrers Mediterranis ,2016,99.00,Sin DO (Bonastre),Cartoixà,White,España,Catalunya,33.00,Wine Searcher,11.0,75
Sicus Malvasia de Sitges ,Celler Sicus Terrers Mediterranis ,2015,41.25,Sin DO (Bonastre),Malvasia de Sitges ,White,España,Catalunya,13.75,Wine Searcher,11.5,75
Selma de Nin,Familia Nin-Ortiz,2017,153.00,Sin DO (El Pla de Manlleu),"Roussanne, Marsanne, Chenin Blanc, Perellada Montonega",White,España,Catalunya,51.00,Wine Searcher,13.0,75
Africa Connection,Vinyes Singulars,2018,35.70,Sin DO (Pacs del Penedès),Macabeu,White,España,Catalunya,11.90,Barcelonavinos,13.5,75
Dasca Vives Malvasia de Sitges Finca el Pou,Dasca Vives,2016,36.00,Tarragona,Malvasia de Sitges,White,España,Catalunya,12.00,Human Vins,,75
Aucalà Blanc,Serra i Barceló ,2015,22.20,Terra Alta,Garnacha Blanca,White,España,Catalunya,7.40,Vinófilos,,75
L'Abrunet Blanc,Celler Frisach,2016,15.00,Terra Alta,Garnatxa Blanca,White,España,Catalunya,5.00,Hectárea BCN,13.5,75
Vernatxa,Celler Frisach,2016,29.70,Terra Alta,Garnatxa Blanca,White,España,Catalunya,9.90,Hectárea BCN,13.5,75
La Foradada,Celler Frisach,2018,38.70,Terra Alta,Garnatxa Blanca,White,España,Catalunya,12.90,Wine Searcher,13.5,75
Vernatxa Blanc,Celler Frisach,2018,50.25,Terra Alta,Garnatxa Blanca,White,España,Catalunya,16.75,Wine Searcher,13.5,75
Fraga do Corvo,Grandes Pagos Gallegos ,2016,22.50,Monterrei,Godello,White,España,Galicia,7.50,Media Relations,,75
Muradella Blanco,Quinta da Muradella ,2015,138.90,Monterrei,"Treixadura, Monstruosa",White,España,Galicia,46.30,Wine Searcher,13.5,75
Tricó,Compañía de Vinos Tricó,2017,37.50,Rías Baixas,Albariño,White,España,Galicia,12.50,Buena Uva,13.5,75
Pazo Señorans 50cl,Pazo de Señorans ,2017,23.85,Rías Baixas,Albariño,White,España,Galicia,7.95,Piñero,,50
Gran Vinum,Adegas Gran Vinum,2017,23.85,Rías Baixas,Albariño,White,España,Galicia,7.95,Vinalia,,75
El Jardín de Lucía,Uvas Felices ,2017,34.50,Rías Baixas,Albariño,White,España,Galicia,11.50,Piñero,,75
Zárate Albariño,Zárate ,2017,26.10,Rías Baixas,Albariño,White,España,Galicia,8.70,Vinófilos,,75
Pazo Señorans Colección,Pazo de Señorans ,2013,43.50,Rías Baixas,Albariño,White,España,Galicia,14.50,Piñero,,75
Pazo Señorans Colección,Pazo de Señorans ,2014,43.50,Rías Baixas,Albariño,White,España,Galicia,14.50,Piñero,,75
Pazo Señorans Selección de Añada,Pazo de Señorans ,2009,79.50,Rías Baixas,Albariño,White,España,Galicia,26.50,Piñero,,75
Do Ferreiro,Do Ferreiro,2017,29.55,Rías Baixas,Albariño,White,España,Galicia,9.85,EnoGastronómika,,75
Maceración con Pieles,Eulogio Pomares ,2016,72.00,Rías Baixas,Albariño,White,España,Galicia,24.00,COALLA LOGISTICA S.L.,12.5,75
Coccinella,Nanclares ,2016,68.85,Rías Baixas,Albariño,White,España,Galicia,22.95,TRASEGAR VINOS S.L.U.,12.5,75
Albariño de Fefiñanes,Palacio de Fefiñanes ,2018,29.40,Rías Baixas,Albariño,White,España,Galicia,9.80,EL GUSTO POR EL VINO CANARIAS S.L.,13.5,75
Fefiñanes III Año,Palacio de Fefiñanes ,2016,77.52,Rías Baixas,Albariño,White,España,Galicia,25.84,EL GUSTO POR EL VINO CANARIAS S.L.,13.5,75
Tricó Albariño,Tricó ,2015,33.90,Rías Baixas,Albariño,White,España,Galicia,11.30,COALLA LOGISTICA S.L.,13.5,75
Tricó Albariño,Tricó ,2015,37.50,Rías Baixas,Albariño,White,España,Galicia,12.50,PREMIUM DRINKS S.L.U.,13.5,75
El Palomar,Zárate ,2016,45.00,Rías Baixas,Albariño,White,España,Galicia,15.00,COALLA LOGISTICA S.L.,13.5,75
