Name,Producer,Vintage,Price,DO,Variety,Type,Country,Region,Cost,Supplier,abv,cl
Bienvenues-Bâtard-Montrachet Grand Cru,Olivier Leflaive ,2007,490.50,Bienvenues-Bâtard-Montrachet Grand Cru,Chardonnay,White,Francia,Burgundy-Côte de Beaune,163.50,LA PART DELS ANGELS S.L.,12.5,75
Antoine Jobard Meursault Blagny 1er Cru,Antoine Jobard ,2014,272.25,Meursault-Blagny 1er Cru,Chardonnay,White,Francia,Burgundy-Côte de Beaune,90.75,Wine Searcher,13.0,75
Pouilly Fuissé Tête de Cru,Château Fuissé ,2015,76.80,Pouilly-Fuissé,Chardonnay,White,Francia,Burgundy-Mâconnais,25.60,PIÑERO RODRIGUEZ S.L.,13.5,75
Domaine Leflaive Mâcon-Verzé,Domaine Leflaive,2014,76.50,Mâcon-Verzé,Chardonnay,White,Francia,Burgundy-Mâconnais,25.50,,13.0,75
Pouilly Fuissé Clos Varambon,Château des Rontets ,2016,59.70,Pouilly-Fuissé,Chardonnay,White,Francia,Burgundy-Mâconnais,19.90,LA PART DELS ANGELS S.L.,13.0,75
Julien Altaber Sextant Aligoté,Julien Altaber-Sextant,2018,69.00,Bourgogne Aligoté,Aligoté,White,Francia,Burgundy-Saint-Aubin,23.00,Wine Searcher,11.5,75
Dominique Derain En Remilly Saint-Aubin 1er Cru,Dominique Derain,2015,150.00,Saint-Aubin 1er Cru,Chardonnay,White,Francia,Burgundy-Saint-Aubin,50.00,Wine Searcher,13.0,75
Arbois Vin Jaune,Bénédicte and Stéphane Tissot,2000,99.60,Arbois,Savagnin,White,Francia,Jura,33.20,TROPICAL TURISTICA CANARIA SL,14.5,62
Pignier Vin Jaune,Pignier ,2009,121.50,Côtes du Jura,Savagnin,White,Francia,Jura,40.50,LA PART DELS ANGELS S.L.,12.5,62
Sous La Roche,Jean François Ganevat ,2014,147.00,Côtes du Jura,Savagnin,White,Francia,Jura,49.00,ENJOY WINE SL,12.5,75
Jean Macle Côtes du Jura,Jean Macle ,2013,65.01,Côtes du Jura,"Chardonnay, Savagnin",White,Francia,Jura,21.67,PREMIUM DRINKS S.L.U.,13.0,75
Pignier Savagnin Sous Voil,Pignier ,2014,88.80,Côtes du Jura,Savagnin,White,Francia,Jura,29.60,LA PART DELS ANGELS S.L.,12.0,75
Les Corvées sous Curon,Domaine de la Tournelle,2016,114.00,Arbois,Chardonnay,White,Francia,Jura,38.00,Wine Searcher,13.0,75
Jean Macle Château Chalon,Jean Macle ,2011,255.00,Château Chalon,Savagnin,White,Francia,Jura,85.00,Wine Searcher,14.0,62
Pamina La Mailloche,Alice Bouvot-Domaine de l'Octavin,2014,63.60,Vin de Francia (Bourgogne),Chardonnay,White,Francia,Jura-Arbois,21.20,Cuvée 3000,12.0,75
